table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
11232,r1051,"All institutions -> Augustana C., Rock Island",All institutions,"Augustana C., Rock Island",2,1050,50,50,0,0,0,0
11232,r1052,"All institutions -> State U. New York at Potsdam, The",All institutions,"State U. New York at Potsdam, The",2,1050,50,50,0,0,0,0
11232,r1053,All institutions -> Western New Mexico U.,All institutions,Western New Mexico U.,2,1052,50,5,0,0,32,12
11232,r1054,All institutions -> Stetson U.,All institutions,Stetson U.,2,1053,50,50,0,0,0,0
11232,r1055,All institutions -> Suffolk U.,All institutions,Suffolk U.,2,1054,49,0,0,0,49,0
11232,r1056,All institutions -> Assumption C.,All institutions,Assumption C.,2,1055,48,48,0,0,0,0
11232,r1057,All institutions -> Whittier C.,All institutions,Whittier C.,2,1056,43,43,0,0,0,0
11232,r1058,All institutions -> Texas Lutheran U.,All institutions,Texas Lutheran U.,2,1057,41,37,0,0,3,0
11232,r1059,All institutions -> North Orange County Community C. District,All institutions,North Orange County Community C. District,2,1058,40,0,0,0,40,0
11232,r1060,All institutions -> Muskingum U.,All institutions,Muskingum U.,2,1059,39,0,39,0,0,0
11232,r1061,All institutions -> Plymouth State U.,All institutions,Plymouth State U.,2,1060,37,37,0,0,0,0
11232,r1062,All institutions -> Frostburg State U.,All institutions,Frostburg State U.,2,1061,35,35,0,0,0,0
11232,r1063,All institutions -> North Park U.,All institutions,North Park U.,2,1062,34,34,0,0,0,0
11232,r1064,All institutions -> California Community Colleges,All institutions,California Community Colleges,2,1063,30,30,0,0,0,0
