table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_agencies,field_dhs,field_doc,field_dod,field_doe,field_doi,field_dot,field_ed,field_epa,field_hhs,field_nasa,field_nsf,field_usda,field_othera
10411,r015,"All HHE institutions -> Texas A&M U., College Station<sup>b</sup>",All HHE institutions,"Texas A&M U., College Station<sup>b</sup>",2,14,90553,0,905,11425,6409,0,0,954,0,19700,2716,26952,20592,900
10411,r016,"All HHE institutions -> U. California, Santa Cruz<sup>b</sup>",All HHE institutions,"U. California, Santa Cruz<sup>b</sup>",2,15,75189,0,866,8832,0,1037,0,0,0,41603,3931,16924,1996,0
10411,r017,All HHE institutions -> Florida International U.,All HHE institutions,Florida International U.,2,16,67851,0,1236,4975,1720,978,1518,1116,1437,33832,236,17922,1646,1235
10411,r018,All HHE institutions -> Northern Arizona U.,All HHE institutions,Northern Arizona U.,2,17,57505,0,600,19965,1657,151,91,0,0,13947,3813,15604,1677,0
10411,r019,All HHE institutions -> U. Houston,All HHE institutions,U. Houston,2,18,46448,0,300,0,7535,249,0,3071,0,33315,1978,0,0,0
10411,r020,"All HHE institutions -> U. Texas, The, El Paso",All HHE institutions,"U. Texas, The, El Paso",2,19,43907,0,1000,2354,1374,0,0,490,0,21305,1276,16109,0,0
10411,r021,"All HHE institutions -> New Mexico State U., Las Cruces",All HHE institutions,"New Mexico State U., Las Cruces",2,20,40712,0,0,7426,377,603,924,0,0,9921,2337,7610,11514,0
10411,r022,"All HHE institutions -> U. Texas, The, Arlington",All HHE institutions,"U. Texas, The, Arlington",2,21,40227,0,8234,6518,1864,0,1401,0,0,7072,2413,10978,1247,500
10411,r023,"All HHE institutions -> San Diego State U., San Diego<sup>b</sup>",All HHE institutions,"San Diego State U., San Diego<sup>b</sup>",2,22,38029,0,0,1440,1867,2210,0,1280,0,31231,0,0,0,0
10411,r024,"All HHE institutions -> U. Puerto Rico, Medical Sciences Campus",All HHE institutions,"U. Puerto Rico, Medical Sciences Campus",2,23,32910,0,0,0,0,0,0,0,0,32343,308,260,0,0
10411,r025,"All HHE institutions -> U. Texas, The, San Antonio",All HHE institutions,"U. Texas, The, San Antonio",2,24,30701,0,0,3864,1084,0,565,0,0,16426,45,8334,83,300
10411,r026,All HHE institutions -> Texas Tech U.,All HHE institutions,Texas Tech U.,2,25,30009,629,1575,2418,1871,0,0,0,0,13206,0,8573,1738,0
10411,r027,"All HHE institutions -> U. California, Merced",All HHE institutions,"U. California, Merced",2,26,28887,0,76,672,549,0,0,0,0,3898,125,12117,11450,0
10411,r028,All HHE institutions -> Florida Atlantic U.,All HHE institutions,Florida Atlantic U.,2,27,26206,0,59,6168,112,391,1401,0,0,10108,208,5295,2455,10
