table_id,row_id,_b_state_or_location_and_agency_b_full_path,_b_state_or_location_and_agency_b_level_1,_b_state_or_location_and_agency_b_level_2,_b_state_or_location_and_agency_b_level_3,_b_state_or_location_and_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments
10289,r662,New Jersey -> Other agencies -> National Science Foundation,New Jersey,Other agencies,National Science Foundation,3,161698,0,0,5809,151597,4292,0
10289,r663,New Jersey -> Other agencies -> Postal Service,New Jersey,Other agencies,Postal Service,3,1087,0,0,1087,0,0,0
10289,r664,New Jersey -> Other agencies -> Social Security Administration,New Jersey,Other agencies,Social Security Administration,3,3739,0,0,3739,0,0,0
10289,r665,New Mexico,New Mexico,,,1,3881144,1024942,1979499,641103,199407,32440,3752
10289,r666,New Mexico -> Departments,New Mexico,Departments,,2,,,,,,,
10289,r667,New Mexico -> Departments -> Department of Agriculture,New Mexico,Departments,Department of Agriculture,3,13970,6056,0,100,6994,821,0
10289,r668,New Mexico -> Departments -> Department of Commerce,New Mexico,Departments,Department of Commerce,3,988,895,0,76,0,0.05,0
10289,r669,New Mexico -> Departments -> Department of Defense,New Mexico,Departments,Department of Defense,3,1665889,767357,279956,572741,35220,10615,0
10289,r670,New Mexico -> Departments -> Department of Energy,New Mexico,Departments,Department of Energy,3,1893207,196394,1669626,12600,10936,2484,1167
10289,r671,New Mexico -> Departments -> Department of Health and Human Services,New Mexico,Departments,Department of Health and Human Services,3,121642,0,7116,4479,95463,13940,644
10289,r672,New Mexico -> Departments -> Department of Homeland Security,New Mexico,Departments,Department of Homeland Security,3,27722,19615,1420,6687,0,0,0
10289,r673,New Mexico -> Departments -> Department of the Interior,New Mexico,Departments,Department of the Interior,3,7030,4408,0,413,2078,131,0
10289,r674,New Mexico -> Departments -> Department of Justice,New Mexico,Departments,Department of Justice,3,1489,0,0,635,854,0,0
10289,r675,New Mexico -> Departments -> Department of Labor,New Mexico,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r676,New Mexico -> Departments -> Department of Transportation,New Mexico,Departments,Department of Transportation,3,10525,0,0,8257,1452,0,816
10289,r677,New Mexico -> Departments -> Department of the Treasury,New Mexico,Departments,Department of the Treasury,3,2251,0.05,2250,0,0,0,0
10289,r678,New Mexico -> Departments -> Department of Veterans Affairs,New Mexico,Departments,Department of Veterans Affairs,3,25055,25055,0,0,0,0,0
10289,r679,New Mexico -> Other agencies,New Mexico,Other agencies,,2,,,,,,,
10289,r680,New Mexico -> Other agencies -> Consumer Product Safety Commission,New Mexico,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r681,New Mexico -> Other agencies -> National Aeronautics and Space Administration,New Mexico,Other agencies,National Aeronautics and Space Administration,3,55255,4055,12680,32250,5907,110,254
10289,r682,New Mexico -> Other agencies -> National Science Foundation,New Mexico,Other agencies,National Science Foundation,3,49078,593,0,2785,40504,4323,872
10289,r683,New Mexico -> Other agencies -> Nuclear Regulatory Commission,New Mexico,Other agencies,Nuclear Regulatory Commission,3,6949,498,6451,0,0,0,0
10289,r684,New Mexico -> Other agencies -> Postal Service,New Mexico,Other agencies,Postal Service,3,75,0,0,75,0,0,0
10289,r685,New York,New York,,,1,6830934,222856,517967,1699512,3735477,506968,148154
10289,r686,New York -> Departments,New York,Departments,,2,,,,,,,
10289,r687,New York -> Departments -> Department of Agriculture,New York,Departments,Department of Agriculture,3,71981,26064,0,778,40829,4311,0
10289,r688,New York -> Departments -> Department of Commerce,New York,Departments,Department of Commerce,3,5846,0,0,0.05,5781,0.05,0
10289,r689,New York -> Departments -> Department of Defense,New York,Departments,Department of Defense,3,1169060,123797,5210,784174,186744,68832,302
10289,r690,New York -> Departments -> Department of Education,New York,Departments,Department of Education,3,17796,0,0,2200,9306,6290,0
10289,r691,New York -> Departments -> Department of Energy,New York,Departments,Department of Energy,3,1205300,0.05,502447,607092,86127,6992,2605
10289,r692,New York -> Departments -> Department of Health and Human Services,New York,Departments,Department of Health and Human Services,3,3667592,78,3600,157869,2972576,399890,133579
10289,r693,New York -> Departments -> Department of Homeland Security,New York,Departments,Department of Homeland Security,3,1273,0,524,436,313,0,0
10289,r694,New York -> Departments -> Department of the Interior,New York,Departments,Department of the Interior,3,11598,9778,0,0.05,1398,0,418
10289,r695,New York -> Departments -> Department of Justice,New York,Departments,Department of Justice,3,1287,0,0,500,632,50,106
10289,r696,New York -> Departments -> Department of Labor,New York,Departments,Department of Labor,3,65,0.05,0,59,0,0,0
10289,r697,New York -> Departments -> Department of Transportation,New York,Departments,Department of Transportation,3,12002,0.05,0,2223,1817,0,7941
10289,r698,New York -> Departments -> Department of the Treasury,New York,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r699,New York -> Departments -> Department of Veterans Affairs,New York,Departments,Department of Veterans Affairs,3,59649,59649,0,0,0,0,0
10289,r700,New York -> Other agencies,New York,Other agencies,,2,,,,,,,
10289,r701,New York -> Other agencies -> Agency for Global Media,New York,Other agencies,Agency for Global Media,3,725,0,0,725,0,0,0
10289,r702,New York -> Other agencies -> Consumer Product Safety Commission,New York,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r703,New York -> Other agencies -> Environmental Protection Agency,New York,Other agencies,Environmental Protection Agency,3,5668,0,0,4149,1120,398,0
10289,r704,New York -> Other agencies -> National Aeronautics and Space Administration,New York,Other agencies,National Aeronautics and Space Administration,3,167974,3425,6186,115456,40857,1750,300
10289,r705,New York -> Other agencies -> National Science Foundation,New York,Other agencies,National Science Foundation,3,431943,0,0,22802,387978,18260,2904
10289,r706,New York -> Other agencies -> Nuclear Regulatory Commission,New York,Other agencies,Nuclear Regulatory Commission,3,0.05,0,0,0.05,0,0,0
10289,r707,New York -> Other agencies -> Postal Service,New York,Other agencies,Postal Service,3,1016,0,0,1016,0,0,0
10289,r708,New York -> Other agencies -> Social Security Administration,New York,Other agencies,Social Security Administration,3,150,0,0,0,0,150,0
10289,r709,North Carolina,North Carolina,,,1,3620371,383630,0,940096,1824120,447051,25473
10289,r710,North Carolina -> Departments,North Carolina,Departments,,2,,,,,,,
10289,r711,North Carolina -> Departments -> Department of Agriculture,North Carolina,Departments,Department of Agriculture,3,70191,22881,0,294,46066,211,739
10289,r712,North Carolina -> Departments -> Department of Commerce,North Carolina,Departments,Department of Commerce,3,18915,5318,0,7693,3938,1967,0
10289,r713,North Carolina -> Departments -> Department of Defense,North Carolina,Departments,Department of Defense,3,345047,21827,0,179390,116165,27666,0
10289,r714,North Carolina -> Departments -> Department of Education,North Carolina,Departments,Department of Education,3,18408,0,0,370,16141,1897,0
10289,r715,North Carolina -> Departments -> Department of Energy,North Carolina,Departments,Department of Energy,3,60497,215,0,13398,38410,8216,258
10289,r716,North Carolina -> Departments -> Department of Health and Human Services,North Carolina,Departments,Department of Health and Human Services,3,2675524,182557,0,681475,1404069,389865,17557
10289,r717,North Carolina -> Departments -> Department of Homeland Security,North Carolina,Departments,Department of Homeland Security,3,12610,0,0,7393,5217,0,0
10289,r718,North Carolina -> Departments -> Department of the Interior,North Carolina,Departments,Department of the Interior,3,11263,10287,0,71,686,0,219
10289,r719,North Carolina -> Departments -> Department of Justice,North Carolina,Departments,Department of Justice,3,15334,0,0,0,452,14882,0
10289,r720,North Carolina -> Departments -> Department of Labor,North Carolina,Departments,Department of Labor,3,69,0.05,0,0.05,0,0,0
10289,r721,North Carolina -> Departments -> Department of Transportation,North Carolina,Departments,Department of Transportation,3,14711,0,0,180,7831,0,6700
10289,r722,North Carolina -> Departments -> Department of the Treasury,North Carolina,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r723,North Carolina -> Departments -> Department of Veterans Affairs,North Carolina,Departments,Department of Veterans Affairs,3,35339,35339,0,0,0,0,0
10289,r724,North Carolina -> Other agencies,North Carolina,Other agencies,,2,,,,,,,
10289,r725,North Carolina -> Other agencies -> Agency for International Development,North Carolina,Other agencies,Agency for International Development,3,500,0,0,0,500,0,0
10289,r726,North Carolina -> Other agencies -> Consumer Product Safety Commission,North Carolina,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r727,North Carolina -> Other agencies -> Environmental Protection Agency,North Carolina,Other agencies,Environmental Protection Agency,3,143524,105183,0,32611,4228,1502,0
10289,r728,North Carolina -> Other agencies -> National Aeronautics and Space Administration,North Carolina,Other agencies,National Aeronautics and Space Administration,3,10516,0,0,5987,4106,423,0
10289,r729,North Carolina -> Other agencies -> National Science Foundation,North Carolina,Other agencies,National Science Foundation,3,186555,0,0,10341,175792,422,0
10289,r730,North Carolina -> Other agencies -> Nuclear Regulatory Commission,North Carolina,Other agencies,Nuclear Regulatory Commission,3,520,0,0,0,520,0,0
10289,r731,North Carolina -> Other agencies -> Postal Service,North Carolina,Other agencies,Postal Service,3,846,0,0,846,0,0,0
10289,r732,North Dakota,North Dakota,,,1,168097,41749,0,21237,94334,3349,7428
10289,r733,North Dakota -> Departments,North Dakota,Departments,,2,,,,,,,
10289,r734,North Dakota -> Departments -> Department of Agriculture,North Dakota,Departments,Department of Agriculture,3,54012,38976,0,0,14927,0,110
10289,r735,North Dakota -> Departments -> Department of Defense,North Dakota,Departments,Department of Defense,3,23933,0,0,19218,4681,0.05,0
10289,r736,North Dakota -> Departments -> Department of Energy,North Dakota,Departments,Department of Energy,3,21132,0,0,455,20677,0,0
10289,r737,North Dakota -> Departments -> Department of Health and Human Services,North Dakota,Departments,Department of Health and Human Services,3,35556,0,0,0,26038,3121,6398
10289,r738,North Dakota -> Departments -> Department of the Interior,North Dakota,Departments,Department of the Interior,3,2781,2656,0,0,125,0,0
10289,r739,North Dakota -> Departments -> Department of Labor,North Dakota,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r740,North Dakota -> Departments -> Department of Transportation,North Dakota,Departments,Department of Transportation,3,8021,0.05,0,1560,5531,0,920
10289,r741,North Dakota -> Departments -> Department of the Treasury,North Dakota,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r742,North Dakota -> Departments -> Department of Veterans Affairs,North Dakota,Departments,Department of Veterans Affairs,3,106,106,0,0,0,0,0
10289,r743,North Dakota -> Other agencies,North Dakota,Other agencies,,2,,,,,,,
10289,r744,North Dakota -> Other agencies -> Consumer Product Safety Commission,North Dakota,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r745,North Dakota -> Other agencies -> Environmental Protection Agency,North Dakota,Other agencies,Environmental Protection Agency,3,742,0,0,0.05,546,194,0
10289,r746,North Dakota -> Other agencies -> National Aeronautics and Space Administration,North Dakota,Other agencies,National Aeronautics and Space Administration,3,350,0,0,0,350,0,0
10289,r747,North Dakota -> Other agencies -> National Science Foundation,North Dakota,Other agencies,National Science Foundation,3,21459,0,0,0,21459,0,0
10289,r748,North Dakota -> Other agencies -> Postal Service,North Dakota,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r749,Ohio,Ohio,,,1,3856489,1107733,26812,1344147,1028125,328821,20850
10289,r750,Ohio -> Departments,Ohio,Departments,,2,,,,,,,
10289,r751,Ohio -> Departments -> Department of Agriculture,Ohio,Departments,Department of Agriculture,3,40141,12199,0,743,26801,233,165
10289,r752,Ohio -> Departments -> Department of Commerce,Ohio,Departments,Department of Commerce,3,1977,269,0,100,1495,114,0
10289,r753,Ohio -> Departments -> Department of Defense,Ohio,Departments,Department of Defense,3,2333320,975374,22357,1085033,178302,72110,144
10289,r754,Ohio -> Departments -> Department of Education,Ohio,Departments,Department of Education,3,5368,0,0,0,4334,709,324
10289,r755,Ohio -> Departments -> Department of Energy,Ohio,Departments,Department of Energy,3,112551,796,4369,40426,51222,15738,0
10289,r756,Ohio -> Departments -> Department of Health and Human Services,Ohio,Departments,Department of Health and Human Services,3,970242,10161,0,75461,639470,234202,10949
10289,r757,Ohio -> Departments -> Department of Homeland Security,Ohio,Departments,Department of Homeland Security,3,16506,1428,0,15078,0,0,0
10289,r758,Ohio -> Departments -> Department of the Interior,Ohio,Departments,Department of the Interior,3,9513,8476,0,420,320,0,297
10289,r759,Ohio -> Departments -> Department of Labor,Ohio,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r760,Ohio -> Departments -> Department of Transportation,Ohio,Departments,Department of Transportation,3,34870,738,86,18026,4098,2951,8971
10289,r761,Ohio -> Departments -> Department of the Treasury,Ohio,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r762,Ohio -> Departments -> Department of Veterans Affairs,Ohio,Departments,Department of Veterans Affairs,3,41115,41115,0,0,0,0,0
10289,r763,Ohio -> Other agencies,Ohio,Other agencies,,2,,,,,,,
10289,r764,Ohio -> Other agencies -> Consumer Product Safety Commission,Ohio,Other agencies,Consumer Product Safety Commission,3,151,0.05,0,0,150,0,0
10289,r765,Ohio -> Other agencies -> Environmental Protection Agency,Ohio,Other agencies,Environmental Protection Agency,3,80645,50140,0,28875,1203,427,0
10289,r766,Ohio -> Other agencies -> National Aeronautics and Space Administration,Ohio,Other agencies,National Aeronautics and Space Administration,3,89083,7031,0,72940,8564,549,0
10289,r767,Ohio -> Other agencies -> National Science Foundation,Ohio,Other agencies,National Science Foundation,3,119812,0,0,6002,112022,1788,0
10289,r768,Ohio -> Other agencies -> Nuclear Regulatory Commission,Ohio,Other agencies,Nuclear Regulatory Commission,3,738,0,0,738,0,0,0
10289,r769,Ohio -> Other agencies -> Postal Service,Ohio,Other agencies,Postal Service,3,289,0,0,289,0,0,0
10289,r770,Ohio -> Other agencies -> Social Security Administration,Ohio,Other agencies,Social Security Administration,3,143,0,0,0,143,0,0
10289,r771,Oklahoma,Oklahoma,,,1,1505105,1139039,0,120656,198277,41334,5799
10289,r772,Oklahoma -> Departments,Oklahoma,Departments,,2,,,,,,,
10289,r773,Oklahoma -> Departments -> Department of Agriculture,Oklahoma,Departments,Department of Agriculture,3,38190,13901,0,815,23324,0,150
10289,r774,Oklahoma -> Departments -> Department of Commerce,Oklahoma,Departments,Department of Commerce,3,13823,135,0,0.05,13675,0,0
10289,r775,Oklahoma -> Departments -> Department of Defense,Oklahoma,Departments,Department of Defense,3,1153268,1051272,0,89888,11792,315,0
10289,r776,Oklahoma -> Departments -> Department of Education,Oklahoma,Departments,Department of Education,3,438,0,0,0,438,0,0
10289,r777,Oklahoma -> Departments -> Department of Energy,Oklahoma,Departments,Department of Energy,3,23561,0,0,7441,10420,5360,339
10289,r778,Oklahoma -> Departments -> Department of Health and Human Services,Oklahoma,Departments,Department of Health and Human Services,3,131644,0,0,7425,86440,35423,2356
10289,r779,Oklahoma -> Departments -> Department of Homeland Security,Oklahoma,Departments,Department of Homeland Security,3,1239,0,0,1239,0,0,0
10289,r780,Oklahoma -> Departments -> Department of the Interior,Oklahoma,Departments,Department of the Interior,3,57518,56607,0,0.05,815,0,82
10289,r781,Oklahoma -> Departments -> Department of Justice,Oklahoma,Departments,Department of Justice,3,196,0,0,0,196,0,0
10289,r782,Oklahoma -> Departments -> Department of Labor,Oklahoma,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r783,Oklahoma -> Departments -> Department of Transportation,Oklahoma,Departments,Department of Transportation,3,12695,2212,0,7696,330,0,2458
10289,r784,Oklahoma -> Departments -> Department of the Treasury,Oklahoma,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r785,Oklahoma -> Departments -> Department of Veterans Affairs,Oklahoma,Departments,Department of Veterans Affairs,3,8740,8740,0,0,0,0,0
10289,r786,Oklahoma -> Other agencies,Oklahoma,Other agencies,,2,,,,,,,
10289,r787,Oklahoma -> Other agencies -> Consumer Product Safety Commission,Oklahoma,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r788,Oklahoma -> Other agencies -> Environmental Protection Agency,Oklahoma,Other agencies,Environmental Protection Agency,3,9812,6010,0,3622,132,0.05,0
10289,r789,Oklahoma -> Other agencies -> National Aeronautics and Space Administration,Oklahoma,Other agencies,National Aeronautics and Space Administration,3,18306,155,0,1416,16547,188,0
10289,r790,Oklahoma -> Other agencies -> National Science Foundation,Oklahoma,Other agencies,National Science Foundation,3,35633,0,0,1050,34169,0,415
10289,r791,Oklahoma -> Other agencies -> Postal Service,Oklahoma,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r792,Oregon,Oregon,,,1,1069952,286944,1782,95666,654140,23369,8051
10289,r793,Oregon -> Departments,Oregon,Departments,,2,,,,,,,
10289,r794,Oregon -> Departments -> Department of Agriculture,Oregon,Departments,Department of Agriculture,3,85423,50670,0,210,34240,279,0.05
10289,r795,Oregon -> Departments -> Department of Commerce,Oregon,Departments,Department of Commerce,3,6234,51,0,51,6132,0,0
10289,r796,Oregon -> Departments -> Department of Defense,Oregon,Departments,Department of Defense,3,287381,131182,1782,37226,116828,364,0
10289,r797,Oregon -> Departments -> Department of Education,Oregon,Departments,Department of Education,3,11992,0,0,1913,6580,3132,367
10289,r798,Oregon -> Departments -> Department of Energy,Oregon,Departments,Department of Energy,3,37596,0,0,18157,19331,0.05,108
10289,r799,Oregon -> Departments -> Department of Health and Human Services,Oregon,Departments,Department of Health and Human Services,3,430975,24741,0,25776,362085,17292,1081
10289,r800,Oregon -> Departments -> Department of Homeland Security,Oregon,Departments,Department of Homeland Security,3,499,0,0,0,499,0,0
10289,r801,Oregon -> Departments -> Department of the Interior,Oregon,Departments,Department of the Interior,3,19346,17739,0,0,288,0.05,1304
10289,r802,Oregon -> Departments -> Department of Justice,Oregon,Departments,Department of Justice,3,496,0,0,0,496,0,0
10289,r803,Oregon -> Departments -> Department of Labor,Oregon,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r804,Oregon -> Departments -> Department of Transportation,Oregon,Departments,Department of Transportation,3,10257,0.05,0,449,4884,0,4897
10289,r805,Oregon -> Departments -> Department of the Treasury,Oregon,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r806,Oregon -> Departments -> Department of Veterans Affairs,Oregon,Departments,Department of Veterans Affairs,3,52559,52559,0,0,0,0,0
10289,r807,Oregon -> Other agencies,Oregon,Other agencies,,2,,,,,,,
10289,r808,Oregon -> Other agencies -> Consumer Product Safety Commission,Oregon,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r809,Oregon -> Other agencies -> Environmental Protection Agency,Oregon,Other agencies,Environmental Protection Agency,3,11714,9965,0,937,600,213,0
10289,r810,Oregon -> Other agencies -> National Aeronautics and Space Administration,Oregon,Other agencies,National Aeronautics and Space Administration,3,11128,0,0,4907,6220,0.05,0
10289,r811,Oregon -> Other agencies -> National Science Foundation,Oregon,Other agencies,National Science Foundation,3,103283,0,0,5481,95457,2073,272
10289,r812,Oregon -> Other agencies -> Nuclear Regulatory Commission,Oregon,Other agencies,Nuclear Regulatory Commission,3,990,0,0,490,500,0,0
10289,r813,Oregon -> Other agencies -> Postal Service,Oregon,Other agencies,Postal Service,3,65,0,0,65,0,0,0
10289,r814,Pennsylvania,Pennsylvania,,,1,4544785,441516,64174,1355538,2323389,341498,18671
10289,r815,Pennsylvania -> Departments,Pennsylvania,Departments,,2,,,,,,,
10289,r816,Pennsylvania -> Departments -> Department of Agriculture,Pennsylvania,Departments,Department of Agriculture,3,75612,47395,0,100,26285,1792,0.05
10289,r817,Pennsylvania -> Departments -> Department of Commerce,Pennsylvania,Departments,Department of Commerce,3,4881,0,0,288,4512,81,0
10289,r818,Pennsylvania -> Departments -> Department of Defense,Pennsylvania,Departments,Department of Defense,3,1295879,297728,64174,632386,276965,24625,0.05
10289,r819,Pennsylvania -> Departments -> Department of Education,Pennsylvania,Departments,Department of Education,3,11892,0,0,564,9141,1670,516
10289,r820,Pennsylvania -> Departments -> Department of Energy,Pennsylvania,Departments,Department of Energy,3,483529,28165,0,374125,78001,3216,0.05
10289,r821,Pennsylvania -> Departments -> Department of Health and Human Services,Pennsylvania,Departments,Department of Health and Human Services,3,2115090,8444,0,188152,1607468,304226,6799
10289,r822,Pennsylvania -> Departments -> Department of Homeland Security,Pennsylvania,Departments,Department of Homeland Security,3,11475,0,0,11216,259,0,0
10289,r823,Pennsylvania -> Departments -> Department of the Interior,Pennsylvania,Departments,Department of the Interior,3,10817,8546,0,400,1524,144,203
10289,r824,Pennsylvania -> Departments -> Department of Justice,Pennsylvania,Departments,Department of Justice,3,5367,0,0,0,3367,2000,0
10289,r825,Pennsylvania -> Departments -> Department of Labor,Pennsylvania,Departments,Department of Labor,3,54,0.05,0,0.05,0,0,0
10289,r826,Pennsylvania -> Departments -> Department of Transportation,Pennsylvania,Departments,Department of Transportation,3,29929,0.05,0,5475,11622,1712,11090
10289,r827,Pennsylvania -> Departments -> Department of the Treasury,Pennsylvania,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r828,Pennsylvania -> Departments -> Department of Veterans Affairs,Pennsylvania,Departments,Department of Veterans Affairs,3,48315,48315,0,0,0,0,0
10289,r829,Pennsylvania -> Other agencies,Pennsylvania,Other agencies,,2,,,,,,,
10289,r830,Pennsylvania -> Other agencies -> Consumer Product Safety Commission,Pennsylvania,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r831,Pennsylvania -> Other agencies -> Environmental Protection Agency,Pennsylvania,Other agencies,Environmental Protection Agency,3,7229,0,0,7164,0.05,0.05,0
10289,r832,Pennsylvania -> Other agencies -> National Aeronautics and Space Administration,Pennsylvania,Other agencies,National Aeronautics and Space Administration,3,154459,2884,0,128048,23486,0.05,0
10289,r833,Pennsylvania -> Other agencies -> National Science Foundation,Pennsylvania,Other agencies,National Science Foundation,3,288754,0,0,6205,280574,1974,0
10289,r834,Pennsylvania -> Other agencies -> Nuclear Regulatory Commission,Pennsylvania,Other agencies,Nuclear Regulatory Commission,3,675,0,0,565,110,0,0
10289,r835,Pennsylvania -> Other agencies -> Postal Service,Pennsylvania,Other agencies,Postal Service,3,802,0,0,802,0,0,0
10289,r836,Pennsylvania -> Other agencies -> Social Security Administration,Pennsylvania,Other agencies,Social Security Administration,3,0.05,0,0,0,0.05,0,0
10289,r837,Rhode Island,Rhode Island,,,1,866046,272948,3253,189776,304079,85630,10360
10289,r838,Rhode Island -> Departments,Rhode Island,Departments,,2,,,,,,,
10289,r839,Rhode Island -> Departments -> Department of Agriculture,Rhode Island,Departments,Department of Agriculture,3,4225,0.05,0,650,3533,0.05,0
10289,r840,Rhode Island -> Departments -> Department of Commerce,Rhode Island,Departments,Department of Commerce,3,20834,0,0,0,20834,0,0
10289,r841,Rhode Island -> Departments -> Department of Defense,Rhode Island,Departments,Department of Defense,3,479218,242361,3253,178709,53956,939,0
10289,r842,Rhode Island -> Departments -> Department of Education,Rhode Island,Departments,Department of Education,3,1414,0,0,0,1414,0,0
10289,r843,Rhode Island -> Departments -> Department of Energy,Rhode Island,Departments,Department of Energy,3,7931,0,0,1151,5288,0,1493
10289,r844,Rhode Island -> Departments -> Department of Health and Human Services,Rhode Island,Departments,Department of Health and Human Services,3,257603,0,0,5960,161031,83144,7469
10289,r845,Rhode Island -> Departments -> Department of Homeland Security,Rhode Island,Departments,Department of Homeland Security,3,0.05,0,0,0.05,0,0,0
10289,r846,Rhode Island -> Departments -> Department of the Interior,Rhode Island,Departments,Department of the Interior,3,0.05,0.05,0,0,0,0,0
10289,r847,Rhode Island -> Departments -> Department of Labor,Rhode Island,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r848,Rhode Island -> Departments -> Department of Transportation,Rhode Island,Departments,Department of Transportation,3,1443,0,0,0.05,0,0,1398
10289,r849,Rhode Island -> Departments -> Department of the Treasury,Rhode Island,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r850,Rhode Island -> Departments -> Department of Veterans Affairs,Rhode Island,Departments,Department of Veterans Affairs,3,20881,20881,0,0,0,0,0
10289,r851,Rhode Island -> Other agencies,Rhode Island,Other agencies,,2,,,,,,,
10289,r852,Rhode Island -> Other agencies -> Consumer Product Safety Commission,Rhode Island,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r853,Rhode Island -> Other agencies -> Environmental Protection Agency,Rhode Island,Other agencies,Environmental Protection Agency,3,9648,9648,0,0,0,0,0
10289,r854,Rhode Island -> Other agencies -> National Aeronautics and Space Administration,Rhode Island,Other agencies,National Aeronautics and Space Administration,3,6930,0,0,2933,3997,0,0
10289,r855,Rhode Island -> Other agencies -> National Science Foundation,Rhode Island,Other agencies,National Science Foundation,3,55839,0,0,275,54027,1538,0
10289,r856,Rhode Island -> Other agencies -> Postal Service,Rhode Island,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r857,South Carolina,South Carolina,,,1,1434459,147877,58903,627813,347098,235479,17289
10289,r858,South Carolina -> Departments,South Carolina,Departments,,2,,,,,,,
10289,r859,South Carolina -> Departments -> Department of Agriculture,South Carolina,Departments,Department of Agriculture,3,33758,15062,0,849,14552,3295,0
10289,r860,South Carolina -> Departments -> Department of Commerce,South Carolina,Departments,Department of Commerce,3,15233,13106,0,0,1442,0,684
10289,r861,South Carolina -> Departments -> Department of Defense,South Carolina,Departments,Department of Defense,3,973769,81262,11383,595925,57119,228081,0
10289,r862,South Carolina -> Departments -> Department of Education,South Carolina,Departments,Department of Education,3,10823,0,0,0,4022,0,6802
10289,r863,South Carolina -> Departments -> Department of Energy,South Carolina,Departments,Department of Energy,3,63484,459,47038,5363,10495,0,129
10289,r864,South Carolina -> Departments -> Department of Health and Human Services,South Carolina,Departments,Department of Health and Human Services,3,240764,0,0,20413,211850,2144,6357
10289,r865,South Carolina -> Departments -> Department of Homeland Security,South Carolina,Departments,Department of Homeland Security,3,3169,0,482,2687,0,0,0
10289,r866,South Carolina -> Departments -> Department of the Interior,South Carolina,Departments,Department of the Interior,3,1575,842,0,0.05,573,0,155
10289,r867,South Carolina -> Departments -> Department of Justice,South Carolina,Departments,Department of Justice,3,1250,0,0,0,1250,0,0
10289,r868,South Carolina -> Departments -> Department of Labor,South Carolina,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r869,South Carolina -> Departments -> Department of Transportation,South Carolina,Departments,Department of Transportation,3,5401,0,0,1121,1119,0,3162
10289,r870,South Carolina -> Departments -> Department of the Treasury,South Carolina,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r871,South Carolina -> Departments -> Department of Veterans Affairs,South Carolina,Departments,Department of Veterans Affairs,3,36798,36798,0,0,0,0,0
10289,r872,South Carolina -> Other agencies,South Carolina,Other agencies,,2,,,,,,,
10289,r873,South Carolina -> Other agencies -> Consumer Product Safety Commission,South Carolina,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r874,South Carolina -> Other agencies -> Environmental Protection Agency,South Carolina,Other agencies,Environmental Protection Agency,3,281,0,0,281,0,0,0
10289,r875,South Carolina -> Other agencies -> National Aeronautics and Space Administration,South Carolina,Other agencies,National Aeronautics and Space Administration,3,3833,0,0,347,3486,0,0
10289,r876,South Carolina -> Other agencies -> National Science Foundation,South Carolina,Other agencies,National Science Foundation,3,44279,344,0,786,41190,1959,0
10289,r877,South Carolina -> Other agencies -> Postal Service,South Carolina,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r878,South Dakota,South Dakota,,,1,132148,23548,0,24564,37755,14181,32100
10289,r879,South Dakota -> Departments,South Dakota,Departments,,2,,,,,,,
