table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2016,field_total_2017,field_total_2018,field_total_2019,field_federally_financed_2016,field_federally_financed_2017,field_federally_financed_2018,field_federally_financed_2019
3166,r161,"All institutions -> U. Alabama, Birmingham",All institutions,"U. Alabama, Birmingham",2,160,"['1,060', '']","['1,781', '']","['2,239', '']","['2,177', '']","['977', '']","['1,255', '']","['1,739', '']","['1,880', '']"
3166,r162,All institutions -> U. Maine,All institutions,U. Maine,2,161,"['25', '']","['755', '']","['888', '']","['2,171', '']","['0', '']","['240', '']","['347', '']","['810', '']"
3166,r163,All institutions -> Missouri U. of Science and Technology,All institutions,Missouri U. of Science and Technology,2,162,"['2,943', '']","['2,321', '']","['2,595', '']","['2,119', '']","['2,016', '']","['1,516', '']","['1,985', '']","['1,416', '']"
3166,r164,All institutions -> U. New Mexico,All institutions,U. New Mexico,2,163,"['3,138', '']","['3,145', '']","['3,678', '']","['2,112', '']","['2,618', '']","['2,710', '']","['3,006', '']","['1,716', '']"
3166,r165,All institutions -> Mercer U.,All institutions,Mercer U.,2,164,"['10', '']","['20', '']","['1,613', '']","['2,106', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3166,r166,All institutions -> Kent State U.,All institutions,Kent State U.,2,165,"['1,595', '']","['1,980', '']","['1,390', '']","['2,087', '']","['629', '']","['695', '']","['550', '']","['591', '']"
3166,r167,All institutions -> U. Rhode Island,All institutions,U. Rhode Island,2,166,"['4,181', '']","['2,726', '']","['2,469', '']","['2,020', '']","['3,593', '']","['2,272', '']","['1,855', '']","['1,682', '']"
3166,r168,"All institutions -> U. Massachusetts, Boston",All institutions,"U. Massachusetts, Boston",2,167,"['924', '']","['858', '']","['1,252', '']","['1,983', '']","['619', '']","['548', '']","['735', '']","['1,193', '']"
3166,r169,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,168,"['2,054', '']","['2,103', '']","['1,750', '']","['1,876', '']","['1,404', '']","['1,692', '']","['1,431', '']","['1,366', '']"
3166,r170,"All institutions -> Rutgers, State U. New Jersey, Newark",All institutions,"Rutgers, State U. New Jersey, Newark",2,169,"['745', '']","['1,844', '']","['2,000', '']","['1,869', '']","['685', '']","['1,278', '']","['1,559', '']","['1,412', '']"
3166,r171,All institutions -> American U.,All institutions,American U.,2,170,"['599', '']","['651', '']","['1,300', '']","['1,864', '']","['166', '']","['234', '']","['738', '']","['190', '']"
