table_id,row_id,time_period,broad_occupation_level_1,broad_occupation_level_2,broad_occupation_hierarchy_depth,value
7789,r030_7,,Detailed occupation,Label,2,"Physicists, except biophysicists"
7789,r031_4,,Minor occupation,Code,2,34
7789,r031_5,,Minor occupation,Label,2,"Other physical and related scientists, including astronomersa"
7789,r031_6,,Detailed occupation,Code,2,341980
7789,r031_7,,Detailed occupation,Label,2,"Other physical scientists, including astronomersd"
7789,r032_4,,Minor occupation,Code,2,38
7789,r032_5,,Minor occupation,Label,2,Postsecondary teachers - physical and related sciences
7789,r032_6,,Detailed occupation,Code,2,382750
7789,r032_7,,Detailed occupation,Label,2,Postsecondary teachers - Chemistry
7789,r033_6,,Detailed occupation,Code,2,382770
7789,r033_7,,Detailed occupation,Label,2,"Postsecondary teachers - Earth, environmental, and marine sciences"
7789,r034_6,,Detailed occupation,Code,2,382890
7789,r034_7,,Detailed occupation,Label,2,Postsecondary teachers - Physics
7789,r035_2,,Major occupation,Code,2,4
7789,r035_3,,Major occupation,Label,2,Social and related scientists
7789,r035_4,,Minor occupation,Code,2,41
7789,r035_5,,Minor occupation,Label,2,Economists
7789,r035_6,,Detailed occupation,Code,2,412320
7789,r035_7,,Detailed occupation,Label,2,Economists
